,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
7800,2014-04-07 04:03:00,40.7454,-73.9715,B02512,4,Monday,7,4,3,2014-04-07,04:00:00,-0.1429231926515119,-0.9851484561276503,0.0951602878915662,3,0
7801,2014-04-07 04:03:00,40.7761,-73.9497,B02512,4,Monday,7,4,3,2014-04-07,04:00:00,-0.1217137501423555,-0.990463439764842,0.06455956563888546,3,0
7802,2014-04-07 04:04:00,40.7269,-73.983,B02512,4,Monday,7,4,4,2014-04-07,04:00:00,-0.153943544226822,-0.9815323421733099,0.1135589999016416,0,0
7803,2014-04-07 04:09:00,40.7646,-73.9915,B02512,4,Monday,7,4,9,2014-04-07,04:15:00,-0.16286470769399394,-0.9837145754519592,0.07603105307123986,3,0
7804,2014-04-07 04:29:00,40.728,-74.0001,B02512,4,Monday,7,4,29,2014-04-07,04:30:00,-0.17072578162427468,-0.9788789995460156,0.11246604703897124,0,0
7805,2014-04-07 04:32:00,40.695,-74.1784,B02512,4,Monday,7,4,32,2014-04-07,04:30:00,-0.34016824636731946,-0.9290885716687775,0.1451894974089163,4,1
7806,2014-04-07 04:34:00,40.7523,-73.9675,B02512,4,Monday,7,4,34,2014-04-07,04:30:00,-0.1390698288569549,-0.9863389713436673,0.0882893895686988,3,0
7807,2014-04-07 04:38:00,40.6847,-73.9789,B02512,4,Monday,7,4,38,2014-04-07,04:45:00,-0.1490616104093984,-0.976544945279193,0.15537247552837286,0,0
7808,2014-04-07 04:42:00,40.6441,-73.7827,B02512,4,Monday,7,4,42,2014-04-07,04:45:00,0.04385108518951956,-0.9797546739697696,0.19534037258613984,1,2
7809,2014-04-07 04:43:00,40.7853,-73.9713,B02512,4,Monday,7,4,43,2014-04-07,04:45:00,-0.14315680676480816,-0.9881495889158721,0.055376155539152115,3,0
7810,2014-04-07 04:50:00,40.7603,-73.9947,B02512,4,Monday,7,4,50,2014-04-07,04:45:00,-0.16595578812187434,-0.982856913732802,0.08031789038862379,3,0
7811,2014-04-07 04:54:00,40.7772,-73.9552,B02512,4,Monday,7,4,54,2014-04-07,05:00:00,-0.1271684029185267,-0.9898488745779918,0.06346182156095523,3,0
7812,2014-04-07 04:55:00,40.6948,-74.1779,B02512,4,Monday,7,4,55,2014-04-07,05:00:00,-0.3396936828624368,-0.9292312483625501,0.14538737527698511,4,1
7813,2014-04-07 04:56:00,40.7878,-73.9785,B02512,4,Monday,7,4,56,2014-04-07,05:00:00,-0.15028807720845744,-0.9872270348612441,0.05287982118030066,3,0
7814,2014-04-07 04:57:00,40.7826,-73.973,B02512,4,Monday,7,4,57,2014-04-07,05:00:00,-0.14481423690120915,-0.9877532596612798,0.05807180743903792,3,0
15873,2014-04-14 04:00:00,40.7047,-73.9413,B02512,4,Monday,14,4,0,2014-04-14,04:00:00,-0.11257743244700617,-0.9843489557926213,0.1355856000230694,0,0
15874,2014-04-14 04:18:00,40.7828,-73.9816,B02512,4,Monday,14,4,18,2014-04-14,04:15:00,-0.1533052354916811,-0.9864828025582377,0.057872143797211714,3,0
15875,2014-04-14 04:19:00,40.7437,-73.8899,B02512,4,Monday,14,4,19,2014-04-14,04:15:00,-0.0621385035105044,-0.9933571423380895,0.09685243490681922,3,0
15876,2014-04-14 04:46:00,40.7472,-73.9899,B02512,4,Monday,14,4,46,2014-04-14,04:45:00,-0.16105215462109387,-0.982519497748392,0.0933683031662824,0,0
15877,2014-04-14 04:48:00,40.7593,-73.9733,B02512,4,Monday,14,4,48,2014-04-14,04:45:00,-0.14487450929736528,-0.9861030925991892,0.0813146193630804,3,0
