,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
5790,2014-04-05 07:04:00,40.6743,-73.9673,B02512,4,Saturday,5,7,4,2014-04-05,07:00:00,-0.13749119008579003,-0.9765553550546191,0.16563758982471363,3,0
5791,2014-04-05 07:24:00,40.7801,-73.9611,B02512,4,Saturday,5,7,24,2014-04-05,07:30:00,-0.13303023253020904,-0.9892595952321322,0.060567404386488,0,0
5792,2014-04-05 07:24:00,40.7471,-73.9884,B02512,4,Saturday,5,7,24,2014-04-05,07:30:00,-0.1595766974538598,-0.9827507495192813,0.09346786586314035,1,0
5793,2014-04-05 07:31:00,40.783,-73.9711,B02512,4,Saturday,5,7,31,2014-04-05,07:30:00,-0.14294055987471396,-0.9880495340024408,0.05767247784049977,0,0
5794,2014-04-05 07:33:00,40.7238,-73.9946,B02512,4,Saturday,5,7,33,2014-04-05,07:30:00,-0.16525933604483928,-0.9793287682797467,0.11663839620679342,1,0
5795,2014-04-05 07:36:00,40.7244,-73.9852,B02512,4,Saturday,5,7,36,2014-04-05,07:30:00,-0.15605744765695168,-0.980907854007085,0.11604247057871953,1,0
5796,2014-04-05 07:43:00,40.7633,-73.9788,B02512,4,Saturday,5,7,43,2014-04-05,07:45:00,-0.15034370266863487,-0.9856050280195194,0.07732722554526085,1,0
5797,2014-04-05 07:44:00,40.7677,-73.9916,B02512,4,Saturday,5,7,44,2014-04-05,07:45:00,-0.16300081652900228,-0.9839260840958847,0.07293966579726477,1,0
5798,2014-04-05 07:44:00,40.7747,-73.9784,B02512,4,Saturday,5,7,44,2014-04-05,07:45:00,-0.15007228413347165,-0.9864725231432778,0.06595658131147818,0,0
5799,2014-04-05 07:48:00,40.7057,-74.0082,B02512,4,Saturday,5,7,48,2014-04-05,07:45:00,-0.17815372199191734,-0.9747540716002945,0.1345947667596129,3,0
5800,2014-04-05 07:51:00,40.7607,-73.998,B02512,4,Saturday,5,7,51,2014-04-05,07:45:00,-0.16920374636489688,-0.9823354913078136,0.07991917625401418,1,0
5801,2014-04-05 07:55:00,40.7349,-73.9833,B02512,4,Saturday,5,7,55,2014-04-05,08:00:00,-0.15437409311309835,-0.9823521560617748,0.10560720077859652,1,0
5802,2014-04-05 07:58:00,40.7463,-73.9911,B02512,4,Saturday,5,7,58,2014-04-05,08:00:00,-0.16221730374805957,-0.9822422215297395,0.09426433370597688,1,0
14109,2014-04-12 07:02:00,40.7076,-74.0025,B02512,4,Saturday,12,7,2,2014-04-12,07:00:00,-0.17263899118686385,-0.9760037670322129,0.13271181356952266,3,0
14110,2014-04-12 07:10:00,40.7099,-74.0137,B02512,4,Saturday,12,7,10,2014-04-12,07:15:00,-0.18361522057790305,-0.9743064169036083,0.13043180882200517,3,0
14111,2014-04-12 07:15:00,40.7541,-74.0326,B02512,4,Saturday,12,7,15,2014-04-12,07:15:00,-0.20297261481359546,-0.9753566074746653,0.08649627674786554,1,0
14112,2014-04-12 07:16:00,40.7648,-73.9608,B02512,4,Saturday,12,7,16,2014-04-12,07:15:00,-0.1325946901581076,-0.9882652538480579,0.07583163046189367,0,0
14113,2014-04-12 07:17:00,40.7869,-73.9554,B02512,4,Saturday,12,7,17,2014-04-12,07:15:00,-0.12743893952189672,-0.9903873915200637,0.0537785404377821,0,0
14114,2014-04-12 07:27:00,40.7802,-73.9611,B02512,4,Saturday,12,7,27,2014-04-12,07:30:00,-0.13303103907659747,-0.9892655929947354,0.06046758767286242,0,0
14115,2014-04-12 07:27:00,40.7782,-73.9525,B02512,4,Saturday,12,7,27,2014-04-12,07:30:00,-0.12450320508642487,-0.9902510918433826,0.06246380572936778,0,0
14116,2014-04-12 07:33:00,40.6881,-74.1832,B02512,4,Saturday,12,7,33,2014-04-12,07:30:00,-0.34426679036909413,-0.9264839249989419,0.15201287369008312,4,1
14117,2014-04-12 07:35:00,40.764,-73.9784,B02512,4,Saturday,12,7,35,2014-04-12,07:30:00,-0.14995755290058066,-0.9857183585122347,0.07662930261991877,1,0
14118,2014-04-12 07:39:00,40.7745,-73.9639,B02512,4,Saturday,12,7,39,2014-04-12,07:45:00,-0.13575136031517493,-0.9885317054696953,0.06615614448980056,0,0
