,Date/Time,Lat,Lon,Base,month,weekday,day,hour,minute,date,binned_time,x,y,z,cluster_kmeans,cluster_db
7100,2014-04-06 03:02:00,40.7406,-74.0086,B02512,4,Sunday,6,3,2,2014-04-06,03:00:00,-0.17928109925924582,-0.9787087438989773,0.09993739072080339,0,0
7101,2014-04-06 03:06:00,40.7419,-74.0038,B02512,4,Sunday,6,3,6,2014-04-06,03:00:00,-0.17460389795953524,-0.979685090537046,0.09864381479219102,0,0
7102,2014-04-06 03:08:00,40.7347,-73.9986,B02512,4,Sunday,6,3,8,2014-04-06,03:15:00,-0.1693818251785582,-0.9798545150589084,0.10580608024991611,0,0
7103,2014-04-06 03:13:00,40.7341,-73.9899,B02512,4,Sunday,6,3,13,2014-04-06,03:15:00,-0.1608404902322225,-0.9812282117700429,0.10640269323857465,0,0
7104,2014-04-06 03:18:00,40.7294,-74.0009,B02512,4,Sunday,6,3,18,2014-04-06,03:15:00,-0.171535838930897,-0.9788962357877855,0.11107481948118395,0,0
7105,2014-04-06 03:18:00,40.7294,-74.0009,B02512,4,Sunday,6,3,18,2014-04-06,03:15:00,-0.171535838930897,-0.9788962357877855,0.11107481948118395,0,0
7106,2014-04-06 03:40:00,40.7072,-73.9238,B02512,4,Sunday,6,3,40,2014-04-06,03:45:00,-0.0953672853340321,-0.9865025447141903,0.13310826480893023,4,0
7107,2014-04-06 03:49:00,40.7117,-73.9236,B02512,4,Sunday,6,3,49,2014-04-06,03:45:00,-0.09522653654984392,-0.9871078271713464,0.12864697537752098,4,0
7108,2014-04-06 03:53:00,40.752,-73.9944,B02512,4,Sunday,6,3,53,2014-04-06,04:00:00,-0.16554442480865095,-0.9822154405964028,0.08858821405123331,0,0
7109,2014-04-06 03:55:00,40.7382,-73.9962,B02512,4,Sunday,6,3,55,2014-04-06,04:00:00,-0.16709086940959836,-0.9806172638833698,0.1023250855549998,0,0
7110,2014-04-06 03:57:00,40.7142,-73.9987,B02512,4,Sunday,6,3,57,2014-04-06,04:00:00,-0.16907454399362787,-0.9774945516045879,0.1261673498045053,0,0
15186,2014-04-13 03:00:00,40.7561,-73.9707,B02512,4,Sunday,13,3,0,2014-04-13,03:00:00,-0.14227227280525442,-0.9862138418484668,0.08450360073579456,0,0
15187,2014-04-13 03:01:00,40.7602,-73.9909,B02512,4,Sunday,13,3,1,2014-04-13,03:00:00,-0.1622184346900728,-0.9834725183643317,0.08041756691682442,0,0
15188,2014-04-13 03:02:00,40.7448,-73.9788,B02512,4,Sunday,13,3,2,2014-04-13,03:00:00,-0.15010226748731256,-0.9840222565137746,0.09575754790462522,0,0
15189,2014-04-13 03:03:00,40.7344,-73.9899,B02512,4,Sunday,13,3,3,2014-04-13,03:00:00,-0.16084564646513022,-0.9812596680357396,0.10610439151893944,0,0
15190,2014-04-13 03:06:00,40.7423,-74.0043,B02512,4,Sunday,13,3,6,2014-04-13,03:00:00,-0.17510064727670419,-0.9796364297022215,0.09824575778914632,0,0
15191,2014-04-13 03:10:00,40.7236,-74.0112,B02512,4,Sunday,13,3,10,2014-04-13,03:15:00,-0.1814884115473798,-0.9764277060714723,0.11683702876233809,0,0
15192,2014-04-13 03:16:00,40.7761,-73.9559,B02512,4,Sunday,13,3,16,2014-04-13,03:15:00,-0.12785224479565335,-0.989689782702252,0.06455956563888546,2,0
15193,2014-04-13 03:16:00,40.7213,-73.9923,B02512,4,Sunday,13,3,16,2014-04-13,03:15:00,-0.162958076720262,-0.9794155710782213,0.11912096524606781,0,0
15194,2014-04-13 03:17:00,40.7316,-73.9884,B02512,4,Sunday,13,3,17,2014-04-13,03:15:00,-0.15932533441932847,-0.9812027339598133,0.10888816594082751,0,0
15195,2014-04-13 03:30:00,40.7394,-74.0079,B02512,4,Sunday,13,3,30,2014-04-13,03:30:00,-0.17857430482537354,-0.9787153189774731,0.1011313109524332,0,0
15196,2014-04-13 03:33:00,40.6811,-73.8738,B02512,4,Sunday,13,3,33,2014-04-13,03:30:00,-0.045766847321668434,-0.9862288620575964,0.15892774248322236,4,0
15197,2014-04-13 03:38:00,40.7272,-73.9787,B02512,4,Sunday,13,3,38,2014-04-13,03:45:00,-0.14972667209691884,-0.9822188575723099,0.11326093541962387,0,0
15198,2014-04-13 03:39:00,40.7402,-74.0057,B02512,4,Sunday,13,3,39,2014-04-13,03:45:00,-0.1764349911353309,-0.9791851231416593,0.10033538020623253,0,0
